account_id,person_id,account_number,bank_name,account_type
ACC00001,PER00002,86424294759,HDFC Bank,Current
ACC00002,PER00003,65664804686,ICICI Bank,Salary
ACC00003,PER00004,61849122333,Axis Bank,Business
ACC00004,PER00005,73780584906,Canara Bank,Joint
ACC00005,PER00006,26712701707,Punjab National Bank,Savings
ACC00006,PER00007,40508003074,Bank of Baroda,Current
ACC00007,PER00008,56768502109,Union Bank,Salary
ACC00008,PER00009,41027916819,Indian Bank,Business
ACC00009,PER00010,27918018368,Kotak Mahindra,Joint
ACC00010,PER00011,66103405497,IDFC FIRST,Savings
ACC00011,PER00012,62685285821,Federal Bank,Current
ACC00012,PER00013,14311607525,State Bank of India,Salary
ACC00013,PER00014,35503323311,HDFC Bank,Business
ACC00014,PER00015,24020541223,ICICI Bank,Joint
ACC00015,PER00016,17788571502,Axis Bank,Savings
ACC00016,PER00017,41549420636,Canara Bank,Current
ACC00017,PER00018,61130686682,Punjab National Bank,Salary
ACC00018,PER00019,27744201891,Bank of Baroda,Business
ACC00019,PER00020,69665674034,Union Bank,Joint
ACC00020,PER00021,12721103284,Indian Bank,Savings
ACC00021,PER00022,77154646903,Kotak Mahindra,Current
ACC00022,PER00023,61270619123,IDFC FIRST,Salary
ACC00023,PER00024,84045948407,Federal Bank,Business
ACC00024,PER00025,40289442535,State Bank of India,Joint
ACC00025,PER00026,24913508444,HDFC Bank,Savings
ACC00026,PER00027,77861997445,ICICI Bank,Current
ACC00027,PER00028,11545171747,Axis Bank,Salary
ACC00028,PER00029,92158008194,Canara Bank,Business
ACC00029,PER00030,87234188858,Punjab National Bank,Joint
ACC00030,PER00031,16703510518,Bank of Baroda,Savings
ACC00031,PER00032,38548912603,Union Bank,Current
ACC00032,PER00033,35726264220,Indian Bank,Salary
ACC00033,PER00034,46963856792,Kotak Mahindra,Business
ACC00034,PER00035,70778685350,IDFC FIRST,Joint
ACC00035,PER00036,21419652978,Federal Bank,Savings
ACC00036,PER00037,74121092777,State Bank of India,Current
ACC00037,PER00038,46072671456,HDFC Bank,Salary
ACC00038,PER00039,16053464445,ICICI Bank,Business
ACC00039,PER00040,30237074319,Axis Bank,Joint
ACC00040,PER00041,19826531159,Canara Bank,Savings
ACC00041,PER00042,42395863482,Punjab National Bank,Current
ACC00042,PER00043,93746295702,Bank of Baroda,Salary
ACC00043,PER00044,46280762017,Union Bank,Business
ACC00044,PER00045,49315390347,Indian Bank,Joint
ACC00045,PER00046,66773969821,Kotak Mahindra,Savings
ACC00046,PER00047,58503658386,IDFC FIRST,Current
ACC00047,PER00048,21873335665,Federal Bank,Salary
ACC00048,PER00049,99069655159,State Bank of India,Business
ACC00049,PER00050,58146160598,HDFC Bank,Joint
ACC00050,PER00051,21878896291,ICICI Bank,Savings
ACC00051,PER00052,42441565652,Axis Bank,Current
ACC00052,PER00053,86009145053,Canara Bank,Salary
ACC00053,PER00054,97295894623,Punjab National Bank,Business
ACC00054,PER00055,50288192321,Bank of Baroda,Joint
ACC00055,PER00056,99164703444,Union Bank,Savings
ACC00056,PER00057,71814033143,Indian Bank,Current
ACC00057,PER00058,90867178381,Kotak Mahindra,Salary
ACC00058,PER00059,52119950971,IDFC FIRST,Business
ACC00059,PER00060,33228718773,Federal Bank,Joint
ACC00060,PER00061,95854953346,State Bank of India,Savings
ACC00061,PER00062,24024851535,HDFC Bank,Current
ACC00062,PER00063,79030754222,ICICI Bank,Salary
ACC00063,PER00064,54059712195,Axis Bank,Business
ACC00064,PER00065,20380847973,Canara Bank,Joint
ACC00065,PER00066,36998893182,Punjab National Bank,Savings
ACC00066,PER00067,39969150261,Bank of Baroda,Current
ACC00067,PER00068,42501277174,Union Bank,Salary
ACC00068,PER00069,12587844878,Indian Bank,Business
ACC00069,PER00070,66427640072,Kotak Mahindra,Joint
ACC00070,PER00071,64637670569,IDFC FIRST,Savings
ACC00071,PER00072,18789213220,Federal Bank,Current
ACC00072,PER00073,49593476381,State Bank of India,Salary
ACC00073,PER00074,94558933240,HDFC Bank,Business
ACC00074,PER00075,12900662418,ICICI Bank,Joint
ACC00075,PER00076,39409662413,Axis Bank,Savings
ACC00076,PER00077,67640761388,Canara Bank,Current
ACC00077,PER00078,13548138537,Punjab National Bank,Salary
ACC00078,PER00079,20175420223,Bank of Baroda,Business
ACC00079,PER00080,94058692645,Union Bank,Joint
ACC00080,PER00081,37670424372,Indian Bank,Savings
