phone_id,person_id,mobile_number,imei,imsi,provider,sim_type,connection_type,activation_date,status,is_primary
PHN00001,PER00001,10255025421,611977633331614,404702798169829068,Jio,Postpaid,5G,2023-07-03,Active,True
PHN00002,PER00002,9906765355,878846165809111,404135245274513859,Vi,Prepaid,VoLTE,2024-10-21,Suspended,True
PHN00003,PER00003,10737158207,524108432775587,404870339435413300,BSNL,Postpaid,4G,2025-01-02,Active,True
PHN00004,PER00004,9608810816,701763635549324,404935342465386953,Airtel,Prepaid,5G,2025-01-09,Active,True
PHN00005,PER00005,10201492756,489473145363648,404628245002132500,Jio,Postpaid,VoLTE,2024-11-28,Suspended,True
PHN00006,PER00006,9177990689,905263740896502,404762586639730726,Vi,Prepaid,4G,2022-07-15,Active,True
PHN00007,PER00007,10104664390,671484979019118,404761352085029820,BSNL,Postpaid,5G,2025-03-03,Active,True
PHN00008,PER00008,9698725029,666313858501639,404733149710561481,Airtel,Prepaid,VoLTE,2023-05-30,Suspended,True
PHN00009,PER00009,10392649095,787705309955891,404903574008700645,Jio,Postpaid,4G,2022-10-21,Active,True
PHN00010,PER00010,9477904456,687925347435271,404115053844785807,Vi,Prepaid,5G,2025-12-08,Active,True
PHN00011,PER00011,10117221942,293863407905509,404713173956811153,BSNL,Postpaid,VoLTE,2024-09-18,Suspended,True
PHN00012,PER00012,9661509460,139097248181309,404409845008951965,Airtel,Prepaid,4G,2024-03-03,Active,True
PHN00013,PER00013,10908389399,494776995384549,404143510881751695,Jio,Postpaid,5G,2023-08-21,Active,True
PHN00014,PER00014,9741838925,128725316667677,404331268439535772,Vi,Prepaid,VoLTE,2022-10-11,Suspended,True
PHN00015,PER00015,10635589102,422280437146932,404219628633580295,BSNL,Postpaid,4G,2023-12-01,Active,True
PHN00016,PER00016,9389196991,938196759950744,404284602406151904,Airtel,Prepaid,5G,2023-01-29,Active,True
PHN00017,PER00017,10815141459,895096025594131,404611861399479692,Jio,Postpaid,VoLTE,2023-08-20,Suspended,True
PHN00018,PER00018,9189740232,469925666427910,404952856108721747,Vi,Prepaid,4G,2023-09-25,Active,True
PHN00019,PER00019,10213467779,350656658914135,404226186924973284,BSNL,Postpaid,5G,2023-03-01,Active,True
PHN00020,PER00020,9752793206,463495887834349,404485277779760609,Airtel,Prepaid,VoLTE,2025-07-01,Suspended,True
PHN00021,PER00021,10893690730,752057704540033,404667264935410498,Jio,Postpaid,4G,2026-06-01,Active,True
PHN00022,PER00022,9367952891,881188530553512,404529637715762104,Vi,Prepaid,5G,2026-03-07,Active,True
PHN00023,PER00023,10424395353,585304423760991,404403299079605263,BSNL,Postpaid,VoLTE,2024-04-09,Suspended,True
PHN00024,PER00024,9728805540,162782279776433,404297316847154033,Airtel,Prepaid,4G,2022-02-02,Active,True
PHN00025,PER00025,10751360948,180584889326227,404444230760956752,Jio,Postpaid,5G,2024-12-22,Active,True
PHN00026,PER00026,9898230794,800091924158600,404847488542077945,Vi,Prepaid,VoLTE,2022-04-01,Suspended,True
PHN00027,PER00027,10173395483,972708017544416,404986940755888265,BSNL,Postpaid,4G,2025-10-28,Active,True
PHN00028,PER00028,9552718814,253032125296288,404367150691342440,Airtel,Prepaid,5G,2022-05-28,Active,True
PHN00029,PER00029,10714506119,280345532640190,404412957618898229,Jio,Postpaid,VoLTE,2024-10-13,Suspended,True
PHN00030,PER00030,9545066196,162843408242073,404749582178849548,Vi,Prepaid,4G,2025-08-17,Active,True
PHN00031,PER00031,10969243560,361032357248290,404747711429195640,BSNL,Postpaid,5G,2026-02-07,Active,True
PHN00032,PER00032,9846080328,443731570540222,404125702258480689,Airtel,Prepaid,VoLTE,2022-08-13,Suspended,True
PHN00033,PER00033,10167015876,932271738673877,404484299178228330,Jio,Postpaid,4G,2025-06-25,Active,True
PHN00034,PER00034,9505241324,738909801598131,404769038194596272,Vi,Prepaid,5G,2022-03-22,Active,True
PHN00035,PER00035,10430540106,941909796351249,404450406855564731,BSNL,Postpaid,VoLTE,2025-02-01,Suspended,True
PHN00036,PER00036,9610281851,339221594761964,404894620344872060,Airtel,Prepaid,4G,2024-03-24,Active,True
PHN00037,PER00037,10790082192,574188437132860,404171715302917830,Jio,Postpaid,5G,2021-09-19,Active,True
PHN00038,PER00038,9587579787,496929010891800,404530428628496217,Vi,Prepaid,VoLTE,2025-11-06,Suspended,True
PHN00039,PER00039,10942205983,253510163797552,404403451384741170,BSNL,Postpaid,4G,2021-10-25,Active,True
PHN00040,PER00040,9347060927,220723276616852,404822066727140395,Airtel,Prepaid,5G,2025-05-01,Active,True
PHN00041,PER00041,10860063823,850779399628732,404427350236564205,Jio,Postpaid,VoLTE,2025-09-01,Suspended,True
PHN00042,PER00042,9634538953,793054182002139,404353688756061523,Vi,Prepaid,4G,2025-05-11,Active,True
PHN00043,PER00043,10768166249,307216348672138,404224873378699554,BSNL,Postpaid,5G,2025-02-18,Active,True
PHN00044,PER00044,9380528194,918428436595110,404812572476770596,Airtel,Prepaid,VoLTE,2022-02-05,Suspended,True
PHN00045,PER00045,10901582375,725516283609152,404517580224536600,Jio,Postpaid,4G,2023-11-08,Active,True
PHN00046,PER00046,9516248192,231879037834819,404884672023949008,Vi,Prepaid,5G,2024-09-29,Active,True
PHN00047,PER00047,10165139443,667805354621193,404666245783412853,BSNL,Postpaid,VoLTE,2022-09-20,Suspended,True
PHN00048,PER00048,9215016302,984455477292936,404504443909044704,Airtel,Prepaid,4G,2021-09-25,Active,True
PHN00049,PER00049,10344030993,980048609946200,404421585850040783,Jio,Postpaid,5G,2021-11-22,Active,True
PHN00050,PER00050,9464054579,547538057277017,404859299061560583,Vi,Prepaid,VoLTE,2023-05-14,Suspended,True
PHN00051,PER00051,10603876900,488949098084395,404140445211239133,BSNL,Postpaid,4G,2022-03-22,Active,True
PHN00052,PER00052,9834295517,900358079516208,404270777447245869,Airtel,Prepaid,5G,2023-11-19,Active,True
PHN00053,PER00053,10738624750,185849262678113,404953204546667856,Jio,Postpaid,VoLTE,2023-09-09,Suspended,True
PHN00054,PER00054,9345086956,478455892130089,404160924806800910,Vi,Prepaid,4G,2025-10-23,Active,True
PHN00055,PER00055,10318304783,802369257481963,404804617779524376,BSNL,Postpaid,5G,2025-11-02,Active,True
PHN00056,PER00056,9807977494,108443135470570,404707071940698917,Airtel,Prepaid,VoLTE,2021-12-11,Suspended,True
